scenario,actuator_delay_ms,sensor_noise_scale,best_success_rate,recommended_wo_rad_s,recommended_eso_error_rms,recommended_loop_utilization,feasible_wo_min_rad_s,feasible_wo_max_rad_s,admissible_count,recommendation_flag
CoP30_Wind25,30,0.8,1,12,0.26735462752561,0.00107323888888889,10,18,5,FEASIBLE_REGION_FOUND
CoP30_Wind25,30,1,1,12,0.266701564693475,0.0010258,10,18,5,FEASIBLE_REGION_FOUND
CoP30_Wind25,30,1.25,1,12,0.276349726828933,0.00126148611111111,10,18,5,FEASIBLE_REGION_FOUND
CoP30_Wind25,30,1.5,1,12,0.286811709031946,0.00104918055555556,12,18,4,FEASIBLE_REGION_FOUND
CoP30_Wind25,30,1.75,1,12,0.285186721235893,0.00111820555555556,12,18,4,FEASIBLE_REGION_FOUND
CoP30_Wind25,40,0.8,1,14,0.287262859417651,0.00143833611111111,12,18,4,FEASIBLE_REGION_FOUND
CoP30_Wind25,40,1,1,14,0.283595795936116,0.0010545287037037,14,18,3,FEASIBLE_REGION_FOUND
CoP30_Wind25,40,1.25,1,18,0.322607535478112,0.0010670712962963,14,18,3,FEASIBLE_REGION_FOUND
CoP30_Wind25,40,1.5,1,18,0.347739584610123,0.00104016851851852,12,18,4,FEASIBLE_REGION_FOUND
CoP30_Wind25,40,1.75,0.944444444444444,16,0.329174841834181,0.000983582407407407,14,18,3,FEASIBLE_REGION_FOUND
CoP30_Wind25,50,0.8,0.722222222222222,18,0.305607800023816,0.00112669907407407,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,50,1,0.666666666666667,18,0.309710381314785,0.00100688518518519,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,50,1.25,0.5,18,0.328537468330364,0.00107788333333333,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,50,1.5,0.444444444444444,16,0.324324132787304,0.00101063055555556,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,50,1.75,0.5,16,0.33412519226585,0.00101009351851852,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,60,0.8,0.222222222222222,14,0.280779121312013,0.00102,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,60,1,0.166666666666667,12,0.279742466677248,0.00102691759259259,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,60,1.25,0.333333333333333,18,0.338053657855694,0.000999531481481481,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,60,1.5,0.222222222222222,16,0.3222600483795,0.00101695,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP30_Wind25,60,1.75,0.111111111111111,16,0.35102913498637,0.0010493,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,30,0.8,1,14,0.387026488614566,0.00134285185185185,12,18,4,FEASIBLE_REGION_FOUND
CoP45_Wind40,30,1,1,14,0.396390409701324,0.0013101,10,18,5,FEASIBLE_REGION_FOUND
CoP45_Wind40,30,1.25,1,14,0.394964721958172,0.00123441388888889,10,18,5,FEASIBLE_REGION_FOUND
CoP45_Wind40,30,1.5,1,16,0.413320690604745,0.00122508981481482,12,18,4,FEASIBLE_REGION_FOUND
CoP45_Wind40,30,1.75,1,16,0.426689617015881,0.00106809814814815,12,18,4,FEASIBLE_REGION_FOUND
CoP45_Wind40,40,0.8,0.888888888888889,18,0.412061407818057,0.00106189074074074,14,18,3,FEASIBLE_REGION_FOUND
CoP45_Wind40,40,1,1,16,0.384849537205033,0.00117824537037037,12,18,4,FEASIBLE_REGION_FOUND
CoP45_Wind40,40,1.25,1,16,0.392970947413519,0.001063525,12,18,4,FEASIBLE_REGION_FOUND
CoP45_Wind40,40,1.5,0.888888888888889,14,0.390317407688097,0.00101748796296296,14,18,3,FEASIBLE_REGION_FOUND
CoP45_Wind40,40,1.75,0.888888888888889,14,0.389179761653288,0.00121944074074074,14,18,3,FEASIBLE_REGION_FOUND
CoP45_Wind40,50,0.8,0.611111111111111,18,0.403982132432203,0.00106803888888889,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,50,1,0.666666666666667,16,0.38443219991865,0.0010251212962963,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,50,1.25,0.555555555555556,18,0.394640724062081,0.00115039351851852,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,50,1.5,0.444444444444444,16,0.400351463225411,0.00108523240740741,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,50,1.75,0.444444444444444,18,0.447308505319724,0.00117073333333333,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,60,0.8,0.388888888888889,18,0.397836083029721,0.000994261111111111,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,60,1,0.333333333333333,18,0.420149795356233,0.00107564351851852,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,60,1.25,0.222222222222222,16,0.452096518444057,0.000997011111111111,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,60,1.5,0.111111111111111,8,0.408538043439356,0.00103994444444444,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
CoP45_Wind40,60,1.75,0.111111111111111,12,0.413026878009587,0.000989713888888889,NaN,NaN,0,NO_FEASIBLE_REGION_USE_BEST_AVAILABLE
