uncertainty_rank,uncertainty_level,controller,mean_abs_aero_mismatch,mean_rms_angle_error_deg,mean_rms_rate_deg_s,precision_success_share,unstable_share,mean_max_abs_delta_deg,mean_final_error_deg
1,NOMINAL,ADRC,0,5.58659978413195,22.9184648681015,0,0,8.16426088089628,0.820770248850448
1,NOMINAL,AI,0,82.0848144744698,37.9521382508213,0.208333333333333,0.645833333333333,9.40732323226866,-134.400469316585
1,NOMINAL,PID,0,4.8067251441601,26.0948606106754,0.333333333333333,0,9.96271242525623,-0.144724696713223
2,MODERATE_MISMATCH,ADRC,0.15,5.55792515523409,23.0416416970506,0,0,8.16425856844534,0.772966818153215
2,MODERATE_MISMATCH,AI,0.15,81.6202909473021,37.8365197164959,0.291666666666667,0.645833333333333,9.40950251049949,-133.417020633713
2,MODERATE_MISMATCH,PID,0.15,4.79646957080727,26.1504557083137,0.333333333333333,0,9.96259374369249,-0.0420233477715447
3,HIGH_MISMATCH,ADRC,0.3,5.67322576140328,22.6677518225756,0,0,8.16426659692835,0.929322523272367
3,HIGH_MISMATCH,AI,0.3,83.0095345537641,38.234595982226,0.0625,0.645833333333333,9.39656713645623,-136.108566723629
3,HIGH_MISMATCH,PID,0.3,4.83580818093164,25.9648112091136,0.333333333333333,0,9.96298505637387,-0.336946151287156
